Rank,posteam,Cap Total,Gasto_WR_Millones
1,LAR,41473553.0,41.473553
2,NE,38554648.0,38.554648
3,LAC,38096894.0,38.096894
4,NYG,36887201.0,36.887201
5,MIA,30138777.0,30.138777
6,JAX,29682382.0,29.682382
7,ARI,28332956.0,28.332956
8,WAS,27746520.0,27.74652
9,NO,27357267.0,27.357267
10,TB,26884503.0,26.884503
11,ATL,26286751.0,26.286751
12,NYJ,26194925.0,26.194925
13,LV,26076669.0,26.076669
14,CAR,25737480.0,25.73748
15,SEA,24270688.0,24.270688
16,CIN,23445751.0,23.445751
17,BUF,22687906.0,22.687906
18,PIT,21990861.0,21.990861
19,HOU,21395039.0,21.395039
20,PHI,21188965.0,21.188965
21,MIN,20506970.0,20.50697
22,TEN,19951122.0,19.951122
23,DAL,19861571.0,19.861571
24,DEN,19776623.0,19.776623
25,KC,18241618.0,18.241618
26,SF,16208381.0,16.208381
27,DET,16148925.0,16.148925
28,CLE,14222891.0,14.222891
29,GB,13967136.0,13.967136
30,CHI,11368960.0,11.36896
31,IND,11283344.0,11.283344
32,BAL,10249250.0,10.24925
