Temporada,Campeón,Ranking,URL_Logo,Campeón_Label
2014,NE Patriots,18,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,<b>NE Patriots</b>
2015,DEN Broncos,4,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,<b>DEN Broncos</b>
2016,NE Patriots,13,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,<b>NE Patriots</b>
2017,PHI Eagles,12,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,<b>PHI Eagles</b>
2018,NE Patriots,25,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,<b>NE Patriots</b>
2019,KC Chiefs,11,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,<b>KC Chiefs</b>
2020,TB Buccaneers,26,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,<b>TB Buccaneers</b>
2021,LA Rams,17,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,<b>LA Rams</b>
2022,KC Chiefs,25,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,<b>KC Chiefs</b>
2023,KC Chiefs,26,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,<b>KC Chiefs</b>
