Rank,Equipo,Cap Total
1,LAR,"$41,473,553"
2,NE,"$38,554,648"
3,NYG,"$38,096,894"
4,LAC,"$36,887,201"
5,MIA,"$30,138,777"
6,JAX,"$29,682,382"
7,ARI,"$28,332,956"
8,WAS,"$27,746,520"
9,NO,"$27,357,267"
10,TB,"$26,884,503"
11,ATL,"$26,286,751"
12,NYJ,"$26,194,925"
13,LV,"$26,076,669"
14,CAR,"$25,737,480"
15,SEA,"$24,270,688"
16,CIN,"$23,445,751"
17,BUF,"$22,687,906"
18,PIT,"$21,990,861"
19,HOU,"$21,395,039"
20,PHI,"$21,188,965"
21,MIN,"$20,506,970"
22,TEN,"$19,951,122"
23,DAL,"$19,861,571"
24,DEN,"$19,776,623"
25,KC,"$18,241,618"
26,SF,"$16,208,381"
27,DET,"$16,148,925"
28,CLE,"$14,222,891"
29,GB,"$13,967,136"
30,CHI,"$11,368,960"
31,IND,"$11,283,344"
32,BAL,"$10,249,250"
